fixture,method,event_index,kind,alpha,source
planar_l,CURRENT_RAIL_CHART,0,MERGE:boundary_0|boundary_1,0.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,1,MERGE:boundary_0|boundary_5,0.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,2,MERGE:boundary_1|boundary_2,0.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,3,MERGE:boundary_2|boundary_3,0.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,4,MERGE:boundary_3|boundary_4,0.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,5,MERGE:boundary_4|boundary_5,0.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,6,FREEZE,0.4999999999999999,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,7,FREEZE,0.4999999999999999,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,8,FREEZE,0.9999999999999978,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,9,FREEZE,1.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,10,FREEZE,1.0,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,11,MERGE:boundary_0|boundary_2,1.2499999999999987,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,12,MERGE:boundary_3|boundary_5,1.2499999999999993,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,13,MERGE:boundary_2|boundary_5,1.309016994374947,PL_LABELED_FIELD
planar_l,CURRENT_RAIL_CHART,14,FREEZE,1.4999999999999996,PL_LABELED_FIELD
planar_l,HEAT,0,MERGE:boundary_0|boundary_1,0.0,PL_LABELED_FIELD
planar_l,HEAT,1,MERGE:boundary_0|boundary_5,0.0,PL_LABELED_FIELD
planar_l,HEAT,2,MERGE:boundary_1|boundary_2,0.0,PL_LABELED_FIELD
planar_l,HEAT,3,MERGE:boundary_2|boundary_3,0.0,PL_LABELED_FIELD
planar_l,HEAT,4,MERGE:boundary_3|boundary_4,0.0,PL_LABELED_FIELD
planar_l,HEAT,5,MERGE:boundary_4|boundary_5,0.0,PL_LABELED_FIELD
planar_l,HEAT,6,MERGE:boundary_3|boundary_5,1.101144461749012,PL_LABELED_FIELD
planar_l,HEAT,7,MERGE:boundary_0|boundary_2,1.1063896773283308,PL_LABELED_FIELD
planar_l,HEAT,8,MERGE:boundary_2|boundary_5,1.123857572520322,PL_LABELED_FIELD
planar_l,HEAT,9,FREEZE,1.3820293280467122,PL_LABELED_FIELD
planar_l,HEAT,10,FREEZE,1.3878678303588972,PL_LABELED_FIELD
planar_l,HEAT,11,FREEZE,1.4436342378711604,PL_LABELED_FIELD
planar_l,FMM,0,MERGE:boundary_0|boundary_1,0.0,PL_LABELED_FIELD
planar_l,FMM,1,MERGE:boundary_0|boundary_5,0.0,PL_LABELED_FIELD
planar_l,FMM,2,MERGE:boundary_1|boundary_2,0.0,PL_LABELED_FIELD
planar_l,FMM,3,MERGE:boundary_2|boundary_3,0.0,PL_LABELED_FIELD
planar_l,FMM,4,MERGE:boundary_3|boundary_4,0.0,PL_LABELED_FIELD
planar_l,FMM,5,MERGE:boundary_4|boundary_5,0.0,PL_LABELED_FIELD
planar_l,FMM,6,FREEZE,0.5,PL_LABELED_FIELD
planar_l,FMM,7,FREEZE,0.5,PL_LABELED_FIELD
planar_l,FMM,8,FREEZE,1.0,PL_LABELED_FIELD
planar_l,FMM,9,FREEZE,1.0,PL_LABELED_FIELD
planar_l,FMM,10,FREEZE,1.0,PL_LABELED_FIELD
planar_l,FMM,11,MERGE:boundary_0|boundary_2,1.25,PL_LABELED_FIELD
planar_l,FMM,12,MERGE:boundary_2|boundary_5,1.25,PL_LABELED_FIELD
planar_l,FMM,13,MERGE:boundary_3|boundary_5,1.25,PL_LABELED_FIELD
planar_l,FMM,14,FREEZE,1.5,PL_LABELED_FIELD
planar_l,FMM,15,FREEZE,1.5,PL_LABELED_FIELD
planar_l,FMM,16,FREEZE,1.5,PL_LABELED_FIELD
planar_l,FMM,17,FREEZE,1.5606601717798214,PL_LABELED_FIELD
planar_l,MMP_EXACT,0,MERGE:boundary_0|boundary_1,0.0,PL_LABELED_FIELD
planar_l,MMP_EXACT,1,MERGE:boundary_0|boundary_5,0.0,PL_LABELED_FIELD
planar_l,MMP_EXACT,2,MERGE:boundary_1|boundary_2,0.0,PL_LABELED_FIELD
planar_l,MMP_EXACT,3,MERGE:boundary_2|boundary_3,0.0,PL_LABELED_FIELD
planar_l,MMP_EXACT,4,MERGE:boundary_3|boundary_4,0.0,PL_LABELED_FIELD
planar_l,MMP_EXACT,5,MERGE:boundary_4|boundary_5,0.0,PL_LABELED_FIELD
planar_l,MMP_EXACT,6,FREEZE,0.49999999999999983,PL_LABELED_FIELD
planar_l,MMP_EXACT,7,FREEZE,0.49999999999999983,PL_LABELED_FIELD
planar_l,MMP_EXACT,8,FREEZE,0.9999999999999998,PL_LABELED_FIELD
planar_l,MMP_EXACT,9,FREEZE,0.9999999999999998,PL_LABELED_FIELD
planar_l,MMP_EXACT,10,FREEZE,0.9999999999999998,PL_LABELED_FIELD
planar_l,MMP_EXACT,11,MERGE:boundary_2|boundary_5,1.2499999999999996,PL_LABELED_FIELD
planar_l,MMP_EXACT,12,MERGE:boundary_3|boundary_5,1.2499999999999996,PL_LABELED_FIELD
planar_l,MMP_EXACT,13,MERGE:boundary_0|boundary_2,1.2499999999999998,PL_LABELED_FIELD
planar_l,MMP_EXACT,14,FREEZE,1.4999999999999998,PL_LABELED_FIELD
planar_l,STRAIGHT_SKELETON_2D,0,SKELETON_NODE,1.5,STRAIGHT_SKELETON_NATIVE
planar_l,STRAIGHT_SKELETON_2D,1,SKELETON_NODE,1.5,STRAIGHT_SKELETON_NATIVE
planar_l,STRAIGHT_SKELETON_2D,2,SKELETON_NODE,1.5,STRAIGHT_SKELETON_NATIVE
planar_tx,CURRENT_RAIL_CHART,0,MERGE:east|north,0.0,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,1,MERGE:east|south,0.0,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,2,MERGE:north|south,0.0,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,3,MERGE:north|west,0.0,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,4,MERGE:south|west,0.0,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,5,FREEZE,0.49999999999999856,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,6,BOUNDARY,0.4999999999999991,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,7,FREEZE,0.5,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,8,FREEZE,0.9999999999999998,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,9,FREEZE,1.0,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,10,FREEZE,1.4999999999999987,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,11,FREEZE,1.5,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,12,FREEZE,1.999999999999999,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,13,FREEZE,1.9999999999999991,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,14,FREEZE,2.0,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,15,FREEZE,2.0000000000000018,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,16,FREEZE,2.061552812808829,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,17,FREEZE,2.0615528128088303,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,18,FREEZE,2.0615528128088303,PL_LABELED_FIELD
planar_tx,CURRENT_RAIL_CHART,19,FREEZE,2.0615528128088303,PL_LABELED_FIELD
planar_tx,HEAT,0,MERGE:east|north,0.0,PL_LABELED_FIELD
planar_tx,HEAT,1,MERGE:east|south,0.0,PL_LABELED_FIELD
planar_tx,HEAT,2,MERGE:east|west,0.0,PL_LABELED_FIELD
planar_tx,HEAT,3,MERGE:south|west,0.0,PL_LABELED_FIELD
planar_tx,HEAT,4,BOUNDARY,0.19235913593304188,PL_LABELED_FIELD
planar_tx,HEAT,5,MERGE:north|west,0.20816115286106185,PL_LABELED_FIELD
planar_tx,HEAT,6,FREEZE,1.8866291543464864,PL_LABELED_FIELD
planar_tx,HEAT,7,FREEZE,1.8866291560150203,PL_LABELED_FIELD
planar_tx,HEAT,8,FREEZE,2.2180432997361206,PL_LABELED_FIELD
